entity_id|customer_number|valid_from_date|valid_to_date|gender_code|last_name|first_name|birth_date|country_code|postal_code|city|street|data_date_part
3293|544643536|2022-04-25|2024-01-31|F|Döhn|Michaela|1966-12-31|DE|83137|Schonstett|Christof-Haase-Allee|2024-05-01
3296|681078608|2020-01-29|9999-12-31|F|Jäntsch|Uta|2001-10-23|DE|41539|Dormagen|Berthold-Jacob-Platz|2024-05-01
3295|132070978|2023-01-03|9999-12-31|M|Rörricht|Urs|1946-08-27|DE|53604|Bad Honnef|Finkestraße|2024-05-01
3295|570101451|2022-11-08|9999-12-31|M|Junken|Hans-Ulrich|1956-11-16|DE|24893|Taarstedt|Mirella-Wilms-Weg|2024-05-01
3295|609490777|2020-10-17|9999-12-31|M|Mies|Gilbert|2001-12-05|DE|79369|Wyhl|Cordula-Kambs-Weg|2024-05-01
3295|719168269|2022-08-15|9999-12-31|F|Gude|Serpil|1994-10-01|DE|21371|Tosterglope|Bauerallee|2024-05-01
3295|497832835|2023-05-18|9999-12-31|M|Schacht|Lorenz|1974-06-12|DE|38644|Goslar|Margot-Röhricht-Straße|2024-05-01
3296|287143696|2020-08-29|9999-12-31|F|Austermühle|Renate|1969-04-21|DE|72589|Westerheim|Carlos-Rädel-Allee|2024-05-01
3294|902334824|2019-09-04|9999-12-31|M|Klotz|Anthony|1957-09-19|DE|79294|Sölden|Henckallee|2024-05-01
3296|696151092|2024-01-01|9999-12-31|F|Gutknecht|Sigrun|1994-12-23|DE|91809|Wellheim|Sölzerplatz|2024-05-01
3294|378925023|2024-05-01|9999-12-31|F|Stahr|Marita|1958-02-02|DE|52070|Aachen|Bohlanderweg|2024-05-01
